Story,Reality Question,Reality Answer,Memory Question,Memory Answer,First-Order Belief A Question,First-Order Belief A Answer,First-Order Belief B Question,First-Order Belief B Answer,Second-Order Belief A Question,Second-Order Belief A Answer,Second-Order Belief B Question,Second-Order Belief B Answer
"1. Aiden entered the porch.
2. Jayden entered the porch.
3. Ava entered the closet.
4. The slacks is in the bathtub.
5. Jayden exited the porch.
6. Ava exited the closet.
7. Jayden entered the closet.
8. Aiden moved the slacks to the pantry.",Where is the slacks really?,pantry,Where was the slacks at the beginning?,bathtub,Where will Aiden look for the slacks?,pantry,Where will Jayden look for the slacks?,bathtub,Where does Aiden think that Jayden searches for the slacks?,bathtub,Where does Jayden think that Aiden searches for the slacks?,bathtub
"1. Hannah is in the workshop.
2. Charlotte entered the workshop.
3. The grapes is in the suitcase.
4. Hannah likes the cabbage
5. Hannah moved the grapes to the drawer.
6. Sophia entered the master_bedroom.
7. Charlotte exited the workshop.
8. Charlotte entered the master_bedroom.
9. Sophia likes the grapefruit",Where is the grapes really?,drawer,Where was the grapes at the beginning?,suitcase,Where will Hannah look for the grapes?,drawer,Where will Charlotte look for the grapes?,drawer,Where does Hannah think that Charlotte searches for the grapes?,drawer,Where does Charlotte think that Hannah searches for the grapes?,drawer
"1. Ava entered the playroom.
2. Charlotte entered the playroom.
3. The onion is in the envelope.
4. Ava exited the playroom.
5. Ava entered the playroom.
6. Charlotte moved the onion to the bottle.
7. Nathan entered the patio.",Where is the onion really?,bottle,Where was the onion at the beginning?,envelope,Where will Charlotte look for the onion?,bottle,Where will Ava look for the onion?,bottle,Where does Charlotte think that Ava searches for the onion?,bottle,Where does Ava think that Charlotte searches for the onion?,bottle
"1. Lucas entered the TV_room.
2. Aria entered the TV_room.
3. The asparagus is in the box.
4. Carter entered the TV_room.
5. Aria exited the TV_room.
6. Aria entered the TV_room.
7. Lucas moved the asparagus to the bathtub.
8. Lucas loves the jeans",Where is the asparagus really?,bathtub,Where was the asparagus at the beginning?,box,Where will Lucas look for the asparagus?,bathtub,Where will Aria look for the asparagus?,bathtub,Where does Lucas think that Aria searches for the asparagus?,bathtub,Where does Aria think that Lucas searches for the asparagus?,bathtub
"1. Mia hates the sweatshirt
2. Mia entered the playroom.
3. Isla entered the playroom.
4. The watermelon is in the container.
5. Mia exited the playroom.
6. Isla likes the pear
7. Mia entered the TV_room.
8. Isla moved the watermelon to the box.",Where is the watermelon really?,box,Where was the watermelon at the beginning?,container,Where will Isla look for the watermelon?,box,Where will Mia look for the watermelon?,container,Where does Isla think that Mia searches for the watermelon?,container,Where does Mia think that Isla searches for the watermelon?,container
"1. Owen loves the jacket
2. Mia entered the garden.
3. Owen entered the garden.
4. The gloves is in the drawer.
5. Owen exited the garden.
6. Owen entered the garage.
7. Owen hates the undershirt
8. Mia moved the gloves to the bathtub.",Where is the gloves really?,bathtub,Where was the gloves at the beginning?,drawer,Where will Mia look for the gloves?,bathtub,Where will Owen look for the gloves?,drawer,Where does Mia think that Owen searches for the gloves?,drawer,Where does Owen think that Mia searches for the gloves?,drawer
"1. Alexander entered the patio.
2. Emily entered the patio.
3. The slacks is in the cupboard.
4. Lucas entered the master_bedroom.
5. Lucas exited the master_bedroom.
6. Alexander likes the boots
7. Alexander exited the patio.
8. Alexander entered the master_bedroom.
9. Emily moved the slacks to the envelope.
10. Emily likes the watermelon",Where is the slacks really?,envelope,Where was the slacks at the beginning?,cupboard,Where will Emily look for the slacks?,envelope,Where will Alexander look for the slacks?,cupboard,Where does Emily think that Alexander searches for the slacks?,cupboard,Where does Alexander think that Emily searches for the slacks?,cupboard
"1. Charlotte entered the sunroom.
2. Jackson entered the sunroom.
3. The grapes is in the drawer.
4. Jackson moved the grapes to the envelope.
5. Isabella entered the living_room.
6. Isabella exited the living_room.
7. Charlotte dislikes the cap
8. Charlotte exited the sunroom.
9. Charlotte entered the living_room.",Where is the grapes really?,envelope,Where was the grapes at the beginning?,drawer,Where will Jackson look for the grapes?,envelope,Where will Charlotte look for the grapes?,envelope,Where does Jackson think that Charlotte searches for the grapes?,envelope,Where does Charlotte think that Jackson searches for the grapes?,envelope
"1. Elizabeth entered the hall.
2. Mason hates the hat
3. Mason entered the hall.
4. The tangerine is in the bottle.
5. Mason exited the hall.
6. Isabella entered the living_room.
7. Isabella hates the tangerine
8. Mason entered the hall.
9. Elizabeth moved the tangerine to the envelope.",Where is the tangerine really?,envelope,Where was the tangerine at the beginning?,bottle,Where will Elizabeth look for the tangerine?,envelope,Where will Mason look for the tangerine?,envelope,Where does Elizabeth think that Mason searches for the tangerine?,envelope,Where does Mason think that Elizabeth searches for the tangerine?,envelope
"1. Mason entered the porch.
2. James is in the porch.
3. Emma entered the porch.
4. The pants is in the box.
5. Mason moved the pants to the treasure_chest.
6. James exited the porch.
7. Emma exited the porch.
8. Mason exited the porch.
9. James entered the garage.",Where is the pants really?,treasure_chest,Where was the pants at the beginning?,box,Where will Mason look for the pants?,treasure_chest,Where will James look for the pants?,treasure_chest,Where does Mason think that James searches for the pants?,treasure_chest,Where does James think that Mason searches for the pants?,treasure_chest
"1. Evelyn entered the closet.
2. Jack entered the closet.
3. The pineapple is in the basket.
4. Jack exited the closet.
5. Jack entered the closet.
6. Evelyn moved the pineapple to the treasure_chest.",Where is the pineapple really?,treasure_chest,Where was the pineapple at the beginning?,basket,Where will Evelyn look for the pineapple?,treasure_chest,Where will Jack look for the pineapple?,treasure_chest,Where does Evelyn think that Jack searches for the pineapple?,treasure_chest,Where does Jack think that Evelyn searches for the pineapple?,treasure_chest
"1. Jack entered the staircase.
2. Mila entered the staircase.
3. Noah entered the staircase.
4. The slippers is in the crate.
5. Jack exited the staircase.
6. Jack likes the pumpkin
7. Mila exited the staircase.
8. Noah moved the slippers to the envelope.",Where is the slippers really?,envelope,Where was the slippers at the beginning?,crate,Where will Noah look for the slippers?,envelope,Where will Jack look for the slippers?,crate,Where does Noah think that Jack searches for the slippers?,envelope,Where does Jack think that Noah searches for the slippers?,envelope
"1. Emily entered the basement.
2. Liam entered the basement.
3. Benjamin entered the basement.
4. The plum is in the bucket.
5. Benjamin exited the basement.
6. Benjamin entered the TV_room.
7. Emily moved the plum to the cupboard.",Where is the plum really?,cupboard,Where was the plum at the beginning?,bucket,Where will Emily look for the plum?,cupboard,Where will Benjamin look for the plum?,bucket,Where does Emily think that Benjamin searches for the plum?,cupboard,Where does Benjamin think that Emily searches for the plum?,cupboard
"1. Hannah entered the hall.
2. Ethan hates the banana
3. Ethan entered the hall.
4. Ethan likes the beans
5. Noah entered the hall.
6. Ethan exited the hall.
7. The t-shirt is in the pantry.
8. Hannah moved the t-shirt to the bottle.
9. Noah exited the hall.",Where is the t-shirt really?,bottle,Where was the t-shirt at the beginning?,pantry,Where will Hannah look for the t-shirt?,bottle,Where will Noah look for the t-shirt?,bottle,Where does Hannah think that Noah searches for the t-shirt?,bottle,Where does Noah think that Hannah searches for the t-shirt?,bottle
"1. Logan entered the sunroom.
2. Jack entered the sunroom.
3. The sweatshirt is in the bathtub.
4. Jack loves the spinach
5. Jack exited the sunroom.
6. Jack entered the sunroom.
7. Logan moved the sweatshirt to the box.",Where is the sweatshirt really?,box,Where was the sweatshirt at the beginning?,bathtub,Where will Logan look for the sweatshirt?,box,Where will Jack look for the sweatshirt?,box,Where does Logan think that Jack searches for the sweatshirt?,box,Where does Jack think that Logan searches for the sweatshirt?,box
"1. Aiden entered the closet.
2. William loves the undershirt
3. Emma entered the closet.
4. The peas is in the bucket.
5. Aiden exited the closet.
6. William entered the closet.
7. William exited the closet.
8. Emma moved the peas to the drawer.",Where is the peas really?,drawer,Where was the peas at the beginning?,bucket,Where will Emma look for the peas?,drawer,Where will Aiden look for the peas?,bucket,Where does Emma think that Aiden searches for the peas?,drawer,Where does Aiden think that Emma searches for the peas?,drawer
"1. Jayden entered the pantry.
2. Jacob entered the pantry.
3. The peas is in the cupboard.
4. Jayden exited the pantry.
5. Jacob moved the peas to the container.",Where is the peas really?,container,Where was the peas at the beginning?,cupboard,Where will Jacob look for the peas?,container,Where will Jayden look for the peas?,cupboard,Where does Jacob think that Jayden searches for the peas?,cupboard,Where does Jayden think that Jacob searches for the peas?,cupboard
"1. Mason entered the lounge.
2. William entered the hall.
3. Owen entered the lounge.
4. William likes the stockings
5. William exited the hall.
6. Owen dislikes the trousers
7. The jeans is in the pantry.
8. Mason exited the lounge.
9. Mason entered the lounge.
10. Owen moved the jeans to the suitcase.",Where is the jeans really?,suitcase,Where was the jeans at the beginning?,pantry,Where will Owen look for the jeans?,suitcase,Where will Mason look for the jeans?,suitcase,Where does Owen think that Mason searches for the jeans?,suitcase,Where does Mason think that Owen searches for the jeans?,suitcase
"1. Emma loves the banana
2. Charlotte entered the dining_room.
3. Emma is in the dining_room.
4. The stockings is in the basket.
5. Emma exited the dining_room.
6. Charlotte moved the stockings to the bucket.
7. Charlotte exited the dining_room.
8. Charlotte hates the peas
9. Emma entered the TV_room.
10. Olivia entered the TV_room.",Where is the stockings really?,bucket,Where was the stockings at the beginning?,basket,Where will Charlotte look for the stockings?,bucket,Where will Emma look for the stockings?,basket,Where does Charlotte think that Emma searches for the stockings?,basket,Where does Emma think that Charlotte searches for the stockings?,basket
"1. Olivia entered the patio.
2. Isabella entered the patio.
3. The boots is in the bathtub.
4. Olivia exited the patio.
5. Isabella moved the boots to the box.
6. Isabella exited the patio.
7. Olivia entered the patio.",Where is the boots really?,box,Where was the boots at the beginning?,bathtub,Where will Isabella look for the boots?,box,Where will Olivia look for the boots?,box,Where does Isabella think that Olivia searches for the boots?,bathtub,Where does Olivia think that Isabella searches for the boots?,bathtub
"1. Ava entered the crawlspace.
2. William entered the sunroom.
3. Ava exited the crawlspace.
4. Amelia entered the sunroom.
5. The potato is in the basket.
6. Amelia moved the potato to the suitcase.
7. Ava likes the cap
8. William exited the sunroom.",Where is the potato really?,suitcase,Where was the potato at the beginning?,basket,Where will Amelia look for the potato?,suitcase,Where will William look for the potato?,suitcase,Where does Amelia think that William searches for the potato?,suitcase,Where does William think that Amelia searches for the potato?,suitcase
"1. Hannah entered the patio.
2. Ella entered the patio.
3. The t-shirt is in the bottle.
4. Ella moved the t-shirt to the envelope.
5. Hannah exited the patio.
6. Hannah entered the patio.
7. Hannah dislikes the green_pepper",Where is the t-shirt really?,envelope,Where was the t-shirt at the beginning?,bottle,Where will Ella look for the t-shirt?,envelope,Where will Hannah look for the t-shirt?,envelope,Where does Ella think that Hannah searches for the t-shirt?,envelope,Where does Hannah think that Ella searches for the t-shirt?,envelope
"1. Amelia entered the closet.
2. Emma entered the closet.
3. The cap is in the container.
4. Emma moved the cap to the box.
5. Amelia exited the closet.
6. Amelia entered the closet.
7. Ella entered the master_bedroom.",Where is the cap really?,box,Where was the cap at the beginning?,container,Where will Emma look for the cap?,box,Where will Amelia look for the cap?,box,Where does Emma think that Amelia searches for the cap?,box,Where does Amelia think that Emma searches for the cap?,box
"1. Olivia entered the patio.
2. Jacob entered the closet.
3. Benjamin entered the patio.
4. The lemon is in the drawer.
5. Benjamin moved the lemon to the treasure_chest.
6. Olivia exited the patio.
7. Benjamin exited the patio.
8. Olivia entered the closet.",Where is the lemon really?,treasure_chest,Where was the lemon at the beginning?,drawer,Where will Benjamin look for the lemon?,treasure_chest,Where will Olivia look for the lemon?,treasure_chest,Where does Benjamin think that Olivia searches for the lemon?,treasure_chest,Where does Olivia think that Benjamin searches for the lemon?,treasure_chest
"1. Sophia likes the stockings
2. Hannah loves the sweatshirt
3. Hannah entered the den.
4. Ava entered the den.
5. The grapes is in the container.
6. Hannah exited the den.
7. Ava moved the grapes to the crate.
8. Sophia entered the den.
9. Hannah entered the attic.",Where is the grapes really?,crate,Where was the grapes at the beginning?,container,Where will Ava look for the grapes?,crate,Where will Hannah look for the grapes?,container,Where does Ava think that Hannah searches for the grapes?,crate,Where does Hannah think that Ava searches for the grapes?,crate
"1. Alexander hates the potato
2. Alexander entered the master_bedroom.
3. Evelyn entered the master_bedroom.
4. Mia entered the master_bedroom.
5. The grapefruit is in the bucket.
6. Evelyn exited the master_bedroom.
7. Alexander exited the master_bedroom.
8. Evelyn likes the peas
9. Mia moved the grapefruit to the envelope.
10. Mia exited the master_bedroom.
11. Evelyn entered the master_bedroom.",Where is the grapefruit really?,envelope,Where was the grapefruit at the beginning?,bucket,Where will Mia look for the grapefruit?,envelope,Where will Evelyn look for the grapefruit?,envelope,Where does Mia think that Evelyn searches for the grapefruit?,bucket,Where does Evelyn think that Mia searches for the grapefruit?,bucket
"1. Olivia entered the den.
2. Carter entered the pantry.
3. Avery entered the pantry.
4. Olivia exited the den.
5. The onion is in the treasure_chest.
6. Avery moved the onion to the crate.
7. Carter exited the pantry.
8. Carter dislikes the shoes",Where is the onion really?,crate,Where was the onion at the beginning?,treasure_chest,Where will Avery look for the onion?,crate,Where will Carter look for the onion?,crate,Where does Avery think that Carter searches for the onion?,crate,Where does Carter think that Avery searches for the onion?,crate
"1. Ava entered the hallway.
2. Logan entered the hallway.
3. The slippers is in the drawer.
4. Ava exited the hallway.
5. Chloe entered the attic.
6. Chloe exited the attic.
7. Chloe likes the plum
8. Logan hates the scarf
9. Logan moved the slippers to the cupboard.",Where is the slippers really?,cupboard,Where was the slippers at the beginning?,drawer,Where will Logan look for the slippers?,cupboard,Where will Ava look for the slippers?,drawer,Where does Logan think that Ava searches for the slippers?,cupboard,Where does Ava think that Logan searches for the slippers?,cupboard
"1. Hannah is in the back_yard.
2. Sophia entered the back_yard.
3. Sophia likes the jacket
4. The undershirt is in the bottle.
5. Sophia moved the undershirt to the suitcase.
6. Aiden entered the crawlspace.
7. Hannah exited the back_yard.
8. Sophia hates the carrot",Where is the undershirt really?,suitcase,Where was the undershirt at the beginning?,bottle,Where will Sophia look for the undershirt?,suitcase,Where will Hannah look for the undershirt?,suitcase,Where does Sophia think that Hannah searches for the undershirt?,suitcase,Where does Hannah think that Sophia searches for the undershirt?,suitcase
"1. Lily entered the workshop.
2. Isla entered the workshop.
3. Logan entered the hallway.
4. The grapefruit is in the bottle.
5. Lily moved the grapefruit to the drawer.
6. Logan dislikes the beans
7. Logan exited the hallway.
8. Isla exited the workshop.",Where is the grapefruit really?,drawer,Where was the grapefruit at the beginning?,bottle,Where will Lily look for the grapefruit?,drawer,Where will Isla look for the grapefruit?,drawer,Where does Lily think that Isla searches for the grapefruit?,drawer,Where does Isla think that Lily searches for the grapefruit?,drawer
"1. Nathan entered the living_room.
2. Avery entered the living_room.
3. The socks is in the bucket.
4. Nathan exited the living_room.
5. Nathan entered the front_yard.
6. Avery moved the socks to the bottle.",Where is the socks really?,bottle,Where was the socks at the beginning?,bucket,Where will Avery look for the socks?,bottle,Where will Nathan look for the socks?,bucket,Where does Avery think that Nathan searches for the socks?,bucket,Where does Nathan think that Avery searches for the socks?,bucket
"1. William dislikes the peas
2. Abigail entered the TV_room.
3. William entered the TV_room.
4. The plum is in the bathtub.
5. William exited the TV_room.
6. Abigail moved the plum to the pantry.",Where is the plum really?,pantry,Where was the plum at the beginning?,bathtub,Where will Abigail look for the plum?,pantry,Where will William look for the plum?,bathtub,Where does Abigail think that William searches for the plum?,bathtub,Where does William think that Abigail searches for the plum?,bathtub
"1. Owen entered the bathroom.
2. Chloe entered the bathroom.
3. Noah entered the bathroom.
4. The scarf is in the box.
5. Chloe dislikes the cherry
6. Chloe moved the scarf to the cupboard.
7. Noah exited the bathroom.
8. Noah entered the study.",Where is the scarf really?,cupboard,Where was the scarf at the beginning?,box,Where will Chloe look for the scarf?,cupboard,Where will Noah look for the scarf?,cupboard,Where does Chloe think that Noah searches for the scarf?,cupboard,Where does Noah think that Chloe searches for the scarf?,cupboard
"1. Hunter entered the workshop.
2. Emma entered the workshop.
3. The pear is in the bottle.
4. Emma exited the workshop.
5. Emma entered the workshop.
6. Avery dislikes the scarf
7. Avery entered the kitchen.
8. Avery dislikes the dress
9. Hunter moved the pear to the container.",Where is the pear really?,container,Where was the pear at the beginning?,bottle,Where will Hunter look for the pear?,container,Where will Emma look for the pear?,container,Where does Hunter think that Emma searches for the pear?,container,Where does Emma think that Hunter searches for the pear?,container
"1. Isla entered the bathroom.
2. Chloe entered the bathroom.
3. Carter hates the sweatshirt
4. Carter entered the front_yard.
5. Isla loves the shoes
6. The carrot is in the bucket.
7. Chloe exited the bathroom.
8. Isla moved the carrot to the treasure_chest.",Where is the carrot really?,treasure_chest,Where was the carrot at the beginning?,bucket,Where will Isla look for the carrot?,treasure_chest,Where will Chloe look for the carrot?,bucket,Where does Isla think that Chloe searches for the carrot?,bucket,Where does Chloe think that Isla searches for the carrot?,bucket
"1. Alexander entered the bathroom.
2. Owen is in the bathroom.
3. Amelia is in the bathroom.
4. The tomato is in the crate.
5. Amelia exited the bathroom.
6. Alexander exited the bathroom.
7. Owen moved the tomato to the container.",Where is the tomato really?,container,Where was the tomato at the beginning?,crate,Where will Owen look for the tomato?,container,Where will Amelia look for the tomato?,crate,Where does Owen think that Amelia searches for the tomato?,container,Where does Amelia think that Owen searches for the tomato?,container
"1. Ella dislikes the pear
2. Lucas entered the back_yard.
3. Mia hates the asparagus
4. Ella entered the garden.
5. Mia entered the garden.
6. The shoes is in the bottle.
7. Lucas exited the back_yard.
8. Ella moved the shoes to the box.
9. Mia exited the garden.",Where is the shoes really?,box,Where was the shoes at the beginning?,bottle,Where will Ella look for the shoes?,box,Where will Mia look for the shoes?,box,Where does Ella think that Mia searches for the shoes?,box,Where does Mia think that Ella searches for the shoes?,box
"1. Benjamin dislikes the gloves
2. Carter entered the back_yard.
3. Nathan entered the back_yard.
4. The onion is in the container.
5. Nathan moved the onion to the crate.
6. Carter exited the back_yard.",Where is the onion really?,crate,Where was the onion at the beginning?,container,Where will Nathan look for the onion?,crate,Where will Carter look for the onion?,crate,Where does Nathan think that Carter searches for the onion?,crate,Where does Carter think that Nathan searches for the onion?,crate
"1. Lily entered the garden.
2. Jayden entered the living_room.
3. Hannah entered the garden.
4. The hat is in the bucket.
5. Hannah likes the plum
6. Hannah exited the garden.
7. Jayden exited the living_room.
8. Hannah entered the garden.
9. Lily moved the hat to the bottle.",Where is the hat really?,bottle,Where was the hat at the beginning?,bucket,Where will Lily look for the hat?,bottle,Where will Hannah look for the hat?,bottle,Where does Lily think that Hannah searches for the hat?,bottle,Where does Hannah think that Lily searches for the hat?,bottle
"1. Lily loves the sweatshirt
2. Lily entered the back_yard.
3. Ava entered the back_yard.
4. Ava loves the broccoli
5. Alexander entered the lounge.
6. The raincoat is in the pantry.
7. Ava exited the back_yard.
8. Alexander exited the lounge.
9. Lily moved the raincoat to the container.
10. Lily exited the back_yard.
11. Ava entered the lounge.",Where is the raincoat really?,container,Where was the raincoat at the beginning?,pantry,Where will Lily look for the raincoat?,container,Where will Ava look for the raincoat?,pantry,Where does Lily think that Ava searches for the raincoat?,pantry,Where does Ava think that Lily searches for the raincoat?,pantry
"1. Aria entered the kitchen.
2. Chloe entered the kitchen.
3. The undershirt is in the pantry.
4. Chloe moved the undershirt to the container.
5. Aria exited the kitchen.
6. Chloe likes the belt
7. Aria entered the cellar.",Where is the undershirt really?,container,Where was the undershirt at the beginning?,pantry,Where will Chloe look for the undershirt?,container,Where will Aria look for the undershirt?,container,Where does Chloe think that Aria searches for the undershirt?,container,Where does Aria think that Chloe searches for the undershirt?,container
"1. Ella entered the garden.
2. Sophia entered the garden.
3. The pajamas is in the bathtub.
4. Ella exited the garden.
5. Isla entered the garden.
6. Ella entered the bathroom.
7. Sophia moved the pajamas to the treasure_chest.",Where is the pajamas really?,treasure_chest,Where was the pajamas at the beginning?,bathtub,Where will Sophia look for the pajamas?,treasure_chest,Where will Ella look for the pajamas?,bathtub,Where does Sophia think that Ella searches for the pajamas?,treasure_chest,Where does Ella think that Sophia searches for the pajamas?,treasure_chest
